lat,long,type
42.32114628,-71.07406558,OPERATING UNDER INFLUENCE
42.30251135,-71.05957457,OPERATING UNDER INFLUENCE
42.31598136,-71.07538956,OPERATING UNDER INFLUENCE
42.37718134,-71.03390457,OPERATING UNDER INFLUENCE
42.37258821,-71.03566427,OPERATING UNDER INFLUENCE
42.30266861,-71.06601998,OPERATING UNDER INFLUENCE
0.0,0.0,OPERATING UNDER INFLUENCE
42.35541209,-71.1309325,OPERATING UNDER INFLUENCE
42.31684135,-71.07458456,OPERATING UNDER INFLUENCE
42.30637301,-71.0843636,OPERATING UNDER INFLUENCE
42.29815136,-71.08701956,OPERATING UNDER INFLUENCE
42.38279134,-71.01976958,OPERATING UNDER INFLUENCE
42.34949135,-71.07219956,OPERATING UNDER INFLUENCE
42.34852367,-71.07803723,OPERATING UNDER INFLUENCE
42.31124135,-71.08308456,OPERATING UNDER INFLUENCE
42.3164411,-71.06582908,OPERATING UNDER INFLUENCE
42.34422635,-71.14380953,OPERATING UNDER INFLUENCE
42.26760136,-71.15014954,OPERATING UNDER INFLUENCE
42.32460135,-71.06871957,OPERATING UNDER INFLUENCE
42.31735135,-71.06583456,OPERATING UNDER INFLUENCE
42.31326635,-71.10073955,OPERATING UNDER INFLUENCE
42.27923145,-71.11660494,OPERATING UNDER INFLUENCE
42.24810096,-71.13259159,OPERATING UNDER INFLUENCE
42.30018135,-71.07473439,OPERATING UNDER INFLUENCE
42.29588136,-71.09219956,OPERATING UNDER INFLUENCE
42.25642136,-71.12394954,OPERATING UNDER INFLUENCE
42.32560635,-71.10449455,OPERATING UNDER INFLUENCE
42.32406136,-71.09326955,OPERATING UNDER INFLUENCE
42.3399307,-71.08097569,OPERATING UNDER INFLUENCE
42.32099344,-71.05635729,OPERATING UNDER INFLUENCE
42.34215135,-71.08407956,OPERATING UNDER INFLUENCE
42.30754136,-71.07608956,OPERATING UNDER INFLUENCE
42.37848634,-71.03342957,OPERATING UNDER INFLUENCE
42.30664136,-71.06537957,OPERATING UNDER INFLUENCE
42.38922134,-71.01068958,OPERATING UNDER INFLUENCE
42.37844134,-71.02941958,OPERATING UNDER INFLUENCE
42.30297332,-71.16469896,OPERATING UNDER INFLUENCE
42.33515206,-71.08115071,OPERATING UNDER INFLUENCE
42.28576136,-71.06427957,OPERATING UNDER INFLUENCE
42.29189136,-71.09582956,OPERATING UNDER INFLUENCE
42.28264136,-71.08536956,OPERATING UNDER INFLUENCE
42.28391136,-71.13086954,OPERATING UNDER INFLUENCE
42.37812134,-71.02919958,OPERATING UNDER INFLUENCE
42.25555956,-71.11902162,OPERATING UNDER INFLUENCE
