lat,long,type
42.36272959,-71.05875616,SIMPLE ASSAULT
42.38508634,-71.01148958,AGGRAVATED ASSAULT
42.29815136,-71.08701956,FIRE
42.38069134,-71.02957958,AGGRAVATED ASSAULT
42.30573383,-71.0778418,SIMPLE ASSAULT
42.36694134,-71.05853957,FIRE
42.28187037,-71.0855491,AGGRAVATED ASSAULT
42.36114134,-71.06531456,SIMPLE ASSAULT
42.37668134,-71.03624957,SIMPLE ASSAULT
42.28810136,-71.04683957,AGGRAVATED ASSAULT
42.34185635,-71.08364455,SIMPLE ASSAULT
42.27590186,-71.09503423,SIMPLE ASSAULT
42.29538451,-71.08926776,SIMPLE ASSAULT
42.30675215,-71.06028047,SIMPLE ASSAULT
42.3120595,-71.06817684,AGGRAVATED ASSAULT
42.33371135,-71.09665955,AGGRAVATED ASSAULT
42.34148135,-71.08656956,SIMPLE ASSAULT
42.35440135,-71.05910957,SIMPLE ASSAULT
42.34866135,-71.07910956,AGGRAVATED ASSAULT
42.35047603,-71.12773519,AGGRAVATED ASSAULT
42.28662636,-71.13136454,FIRE
42.30608635,-71.06426956,AGGRAVATED ASSAULT
42.30827136,-71.06748458,SIMPLE ASSAULT
42.36272959,-71.05875616,AGGRAVATED ASSAULT
42.2965098,-71.0596827,SIMPLE ASSAULT
42.31569478,-71.06391349,SIMPLE ASSAULT
42.30005635,-71.08429455,SIMPLE ASSAULT
42.28813636,-71.07363456,SIMPLE ASSAULT
42.28236936,-71.08971958,FIRE
42.28832136,-71.07626956,AGGRAVATED ASSAULT
42.28574136,-71.08764456,SIMPLE ASSAULT
42.27142136,-71.09373955,AGGRAVATED ASSAULT
42.32792506,-71.07770104,SIMPLE ASSAULT
42.31069135,-71.07876956,AGGRAVATED ASSAULT
42.38135634,-71.03978957,SIMPLE ASSAULT
42.31406135,-71.09998455,SIMPLE ASSAULT
42.31923135,-71.10002955,FIRE
42.33731631,-71.04853066,SIMPLE ASSAULT
42.28203636,-71.13233954,SIMPLE ASSAULT
42.30519635,-71.06748956,AGGRAVATED ASSAULT
42.28059136,-71.08343455,SIMPLE ASSAULT
42.34481135,-71.09458955,AGGRAVATED ASSAULT
42.31579136,-71.09829955,SIMPLE ASSAULT
