lat,long,type
42.34231635,-71.07330956,OTHER
42.34865634,-71.08256955,OTHER LARCENY
42.35515135,-71.06203955,OTHER LARCENY
42.26712636,-71.11636955,OTHER LARCENY
42.26250356,-71.16697854,OTHER LARCENY
42.31692428,-71.08252908,OTHER LARCENY
42.34302135,-71.06493956,OTHER LARCENY
42.33843409,-71.0502471,07RV
42.35225135,-71.16035953,OTHER LARCENY
42.35114135,-71.07665956,OTHER LARCENY
42.34366135,-71.08800455,OTHER LARCENY
42.34638135,-71.08482955,OTHER LARCENY
42.33663135,-71.08515955,OTHER LARCENY
0.0,0.0,OTHER LARCENY
42.34824634,-71.08822955,OTHER LARCENY
42.28300244,-71.12688568,OTHER LARCENY
0.0,0.0,TOWED
42.35932135,-71.05348957,OTHER LARCENY
42.35950634,-71.05352956,OTHER LARCENY
42.33774635,-71.06905455,OTHER LARCENY
42.34350635,-71.06821456,OTHER
42.33449011,-71.03631921,TOWED
42.33950635,-71.06938956,OTHER
42.35692134,-71.05876956,OTHER LARCENY
42.34986409,-71.14529739,OTHER LARCENY
42.3403538,-71.15384822,TOWED
42.29334606,-71.06307192,OTHER LARCENY
42.33797635,-71.08005455,OTHER LARCENY
42.37095634,-71.03897457,OTHER LARCENY
42.35552926,-71.05849627,OTHER LARCENY
42.37835134,-71.06080456,OTHER LARCENY
42.36028135,-71.05730957,OTHER LARCENY
42.31062135,-71.10339955,OTHER LARCENY
42.37493134,-71.03978957,OTHER LARCENY
42.31926669,-71.08159226,OTHER LARCENY
42.30926135,-71.07422456,OTHER LARCENY
42.29576386,-71.15741095,OTHER LARCENY
42.38166634,-71.04034456,OTHER LARCENY
42.31735135,-71.06583456,OTHER LARCENY
42.32949635,-71.09971454,TOWED
42.29903634,-71.11185405,OTHER LARCENY
42.24679637,-71.12837955,OTHER LARCENY
42.34554135,-71.14134953,OTHER LARCENY
42.33614915,-71.0467171,OTHER LARCENY
42.34860274,-71.13911478,OTHER LARCENY
42.28620136,-71.08826456,OTHER
42.34969134,-71.06520956,OTHER LARCENY
42.28418782,-71.07156968,OTHER
42.29095636,-71.07590956,TOWED
42.30455919,-71.11776261,TOWED
42.34785634,-71.06297956,OTHER
42.27963636,-71.07001456,OTHER LARCENY
42.26649136,-71.11656955,OTHER LARCENY
42.35441135,-71.15820953,OTHER LARCENY
42.3289804,-71.07839392,OTHER
42.35505634,-71.06084456,OTHER LARCENY
42.34376722,-71.16924608,OTHER LARCENY
42.38674064,-71.00911415,OTHER LARCENY
42.35505634,-71.06084456,OTHER LARCENY
42.26858136,-71.09573955,OTHER
42.2936755,-71.11400697,OTHER LARCENY
42.33677135,-71.09810455,OTHER LARCENY
42.35272634,-71.06257456,OTHER LARCENY
42.28846136,-71.08256956,OTHER LARCENY
42.26301636,-71.10760455,OTHER LARCENY
42.29693118,-71.06112346,OTHER LARCENY
42.3778932,-71.05845334,OTHER LARCENY
42.28314467,-71.08068081,OTHER LARCENY
42.28025592,-71.08231276,OTHER LARCENY
42.29227136,-71.11627955,07RV
42.27963636,-71.09332455,OTHER
42.34969134,-71.06520956,OTHER LARCENY
42.29207136,-71.07633956,OTHER
42.30646135,-71.06676956,OTHER LARCENY
42.35182135,-71.12087954,OTHER
42.35103135,-71.06489957,OTHER LARCENY
42.32540686,-71.0880266,OTHER LARCENY
42.34941135,-71.08314456,TOWED
42.35392804,-71.14013405,OTHER LARCENY
42.34091972,-71.0688622,OTHER LARCENY
42.36660135,-71.05652957,TOWED
42.35075635,-71.07485456,OTHER LARCENY
42.33399593,-71.07639912,OTHER LARCENY
42.33855135,-71.07331955,OTHER LARCENY
42.29536636,-71.07421456,TOWED
42.35201634,-71.06464956,OTHER
42.36115668,-71.06254825,OTHER LARCENY
42.34772635,-71.15343453,OTHER LARCENY
42.35030135,-71.08469956,OTHER LARCENY
42.33325635,-71.07289955,OTHER
42.34190135,-71.08714955,OTHER LARCENY
42.30517136,-71.06837957,OTHER LARCENY
42.31921571,-71.07021296,OTHER LARCENY
42.33813135,-71.07463956,OTHER LARCENY
42.35280555,-71.15989171,OTHER LARCENY
42.35322135,-71.06253957,OTHER LARCENY
42.34904635,-71.08104955,TOWED
42.32543556,-71.06387302,OTHER LARCENY
0.0,0.0,OTHER LARCENY
42.32102717,-71.06385596,OTHER LARCENY
42.34737676,-71.13530302,07RV
42.34330135,-71.06965956,OTHER LARCENY
42.37526134,-71.05331956,OTHER LARCENY
42.25416637,-71.13348954,OTHER LARCENY
42.34935135,-71.06755456,OTHER LARCENY
42.35075635,-71.07485456,OTHER LARCENY
42.34991057,-71.07018465,OTHER LARCENY
42.2907686,-71.09157856,OTHER LARCENY
0.0,0.0,TOWED
42.35013134,-71.07714456,OTHER LARCENY
42.24983637,-71.11069455,OTHER LARCENY
42.35086634,-71.06070956,OTHER LARCENY
42.34134135,-71.07891955,OTHER LARCENY
42.35489134,-71.05755956,OTHER LARCENY
42.30573833,-71.07943119,TOWED
42.32086549,-71.10668335,OTHER LARCENY
42.29402635,-71.06054456,OTHER LARCENY
42.36023634,-71.06447456,OTHER LARCENY
42.35013134,-71.07714456,OTHER LARCENY
0.0,0.0,OTHER
42.26361329,-71.10329461,OTHER LARCENY
42.35075635,-71.07485456,OTHER LARCENY
42.34345685,-71.0839464,OTHER LARCENY
42.34676635,-71.10309455,OTHER LARCENY
42.35887134,-71.05634456,OTHER LARCENY
42.35602134,-71.06174456,OTHER LARCENY
42.34643635,-71.10040954,OTHER LARCENY
42.34729635,-71.10635955,TOWED
42.35578134,-71.06125456,OTHER LARCENY
42.35882804,-71.05836216,OTHER LARCENY
42.32159368,-71.07224047,OTHER LARCENY
42.34470431,-71.02941573,OTHER LARCENY
42.33858635,-71.07397456,OTHER LARCENY
42.34446635,-71.08889455,OTHER LARCENY
42.33768135,-71.10489455,OTHER LARCENY
42.33768135,-71.10489455,OTHER LARCENY
42.32543556,-71.06387302,OTHER LARCENY
42.34632684,-71.09944541,OTHER LARCENY
42.34742635,-71.16086453,OTHER LARCENY
42.38293953,-70.99598192,OTHER LARCENY
42.33399593,-71.07639912,OTHER LARCENY
42.34587634,-71.08938955,OTHER LARCENY
42.31934635,-71.11176955,OTHER LARCENY
0.0,0.0,TOWED
42.33448135,-71.07950956,OTHER
42.32997135,-71.08690455,TOWED
42.31732982,-71.05791647,OTHER LARCENY
42.34021361,-71.1545263,TOWED
